Proteins,p_value ,q-value L166P(1&2)/WT,FC
NPC2,1.37924,0.0910294,-1.46216
NPEPL1,5.42321,0.00192754,3.15167
NPEPPS,1.07376,0.331854,-0.487541
NPHP3,0.411756,0.728448,0.148027
NPLOC4,0.838708,0.610419,-0.206751
NPM1,0.530811,0.575743,0.249113
NPM3,1.48265,0.194988,0.796055
NPR2,2.5393,0.0207704,-2.08422
NPR3,2.3337,0.0530963,1.49764
NPTN,0.975618,0.412471,0.377257
NQO1,3.59652,0.0162374,-1.89702
NQO2,2.70859,0.239979,-0.586348
NR2C1,2.23719,0.387453,-0.366836
NR2C2,2.84133,0.140684,-0.880445
NR2C2AP,0.740864,0.358775,0.483455
NR2F1,3.2052,0.00777726,-2.38577
NR2F6,0.838206,0.411349,-0.388812
NR3C1,3.95912,0.029173,-1.55785
NRAS,1.65085,0.0501471,1.79796
NRBF2,3.12215,0.0378841,1.55026
NRBP1,1.35447,0.150378,-1.02786
NRBP2,3.02821,0.147969,0.838728
NRCAM,2.76036,0.0406572,1.57252
NRDC,1.29629,0.267387,-0.598378
NRF1,4.20099,0.0350427,-1.45891
NRIP2,1.62969,0.15606,-0.935784
NRK,4.46108,0.00235556,3.71345
NRM,3.299,0.0214393,-1.78331
NRP1,0.233191,0.882434,0.0624552
NRP2,1.69587,0.128519,1.07249
NSA2,1.03823,0.154837,-1.11766
NSD1,2.14543,0.396695,-0.35872
NSD2,0.444261,0.686403,0.172016
NSD3,1.02204,0.319847,0.517058
NSDHL,0.285002,0.758693,-0.135684
NSF,1.32075,0.479836,-0.295081
NSFL1C,1.3848,0.198705,0.796561
NSL1,4.34982,0.0307704,-1.48367
NSMCE1,2.17022,0.136172,-0.954416
NSMCE2,2.56442,0.177802,-0.762755
NSMCE3,0.784461,0.510664,-0.286617
NSMCE4A,0.23387,0.753181,-0.1447
NSMF,1.25839,0.185759,0.871121
NSRP1,1.21486,0.243302,0.672112
NSUN2,2.17263,0.168491,-0.819745
NSUN4,0.411436,0.858865,-0.070947
NSUN5,1.51034,0.504015,0.272451
NSUN7,0.0516897,0.902779,-0.0726153
NT5C,0.144026,0.689595,0.2517
NT5C2,0.190949,0.805532,-0.110474
NT5C3A,1.43015,0.205774,-0.761054
NT5C3B,0.170537,0.863343,-0.0747314
NT5DC1,3.0861,0.220644,0.617724
NT5DC2,2.61071,0.0452295,-1.50825
NT5DC3,0.252401,0.696065,-0.183865
NT5E,1.19414,0.343976,-0.459178
NTAN1,3.66301,0.337349,0.408847
NTM,4.07217,0.0041676,2.84637
NTMT1,0.174006,0.926468,-0.0388048
NTN3,2.24678,0.0952291,-1.16939
NTPCR,1.95212,0.203259,0.717459
NUAK1,3.51647,0.00550329,2.64143
NUB1,1.29187,0.356168,-0.434797
NUBP1,1.25773,0.255346,0.632807
NUBP2,2.41532,0.116867,-1.018
NUBPL,2.33695,0.0262984,1.97925
NUCB1,1.14345,0.197074,0.852296
NUCB2,0.122771,0.876991,-0.0738603
NUCKS1,5.10179,0.0417965,-1.31262
NUDC,2.9793,0.264231,0.53019
NUDCD1,0.226701,0.597712,-0.300212
NUDCD2,1.92445,0.0507867,1.67586
NUDCD3,1.92979,0.128548,1.02023
NUDT1,2.91318,0.0452339,-1.46795
NUDT11,3.22006,0.104962,-1.01256
NUDT12,1.31783,0.36005,-0.426417
NUDT14,3.39867,0.0811154,1.13504
NUDT15,2.61969,0.00428177,-3.79853
NUDT16,2.12366,0.439277,0.317738
NUDT16L1,1.5837,0.106204,-1.24853
NUDT18,0.353729,0.611957,-0.237045
NUDT19,3.28747,0.0699457,1.20699
NUDT2,1.52032,0.198192,-0.777278
NUDT21,4.85709,0.130328,-0.842029
NUDT22,0.593239,0.279197,-0.749771
NUDT3,2.76331,0.148292,-0.851354
NUDT4,0.0494453,0.873571,0.105818
NUDT4B,0.77526,0.377995,0.452981
NUDT5,2.93832,0.296924,-0.475447
NUDT6,1.0744,0.232998,-0.72874
NUDT9,1.917,0.305528,0.486832
NUF2,1.50166,0.17526,-0.872332
NUFIP1,1.35978,0.1477,-1.03413
NUFIP2,2.70368,0.101321,1.07192
NUMA1,3.19984,0.0758447,-1.19173
NUMB,1.6867,0.186147,0.797491
NUMBL,0.102736,0.929142,-0.0392639
NUP107,0.102455,0.825908,-0.114338
NUP133,2.87948,0.0758498,-1.21511
NUP153,0.397414,0.597533,0.244122
NUP155,3.23963,0.0339829,-1.57935
NUP160,2.00095,0.0874033,-1.24594
NUP188,0.264586,0.786238,0.117438
NUP205,2.82756,0.0211416,-1.94637
NUP210,6.07145,0.00534653,2.15273
NUP214,0.360586,0.844373,-0.0805667
NUP35,0.00195212,0.996988,-0.00149308
NUP37,3.39253,0.0421984,-1.43778
NUP42,0.113113,0.881788,-0.0703458
NUP43,1.69211,0.181451,-0.810408
NUP50,2.34715,0.137431,-0.92854
NUP54,2.75331,0.0422842,-1.53045
NUP58,1.39955,0.156822,0.982538
NUP62,2.44622,0.13733,-0.919532
NUP85,1.25964,0.125582,-1.20502
NUP88,3.14675,0.158618,-0.793235
NUP93,2.09609,0.179704,-0.778899
NUP98,1.53442,0.496284,-0.278939
NUTF2,1.47916,0.0928165,-1.38436
NVL,0.567531,0.646104,-0.191742
NXF1,0.858944,0.357896,0.468946
NXN,1.02102,0.302465,-0.552523
NYNRIN,4.3191,0.0206295,-1.68612
OARD1,3.12367,0.0229752,-1.79519
OAS3,1.0247,0.185437,-0.940611
OAT,1.31289,0.343301,-0.455385
OBI1,1.82822,0.118919,1.10253
OBSL1,4.58829,0.0431081,-1.33328
OCC1,3.84945,0.0047379,2.69446
OCIAD1,3.60561,0.0389972,1.46966
OCIAD2,4.43473,0.00501014,2.40638
OCLN,5.11569,0.00233333,3.32639
OCRL,0.209783,0.794761,0.116378
ODF2,1.67262,0.306454,-0.494486
ODF3,1.24985,0.149073,1.06594
ODR4,3.54092,0.0864945,-1.09241
OGA,0.401103,0.818737,-0.0929455
OGDH,0.630384,0.603054,0.22264
OGFOD1,0.343242,0.728097,-0.151565
OGFOD2,3.11625,0.190683,0.698088
OGFOD3,2.05422,0.108944,1.11123
OGFR,4.0485,0.242086,-0.554182
OGFRL1,4.83417,0.0214453,1.61613
OGN,4.06798,0.00331373,-3.32558
OGT,2.05676,0.224565,-0.647489
OLA1,1.69596,0.100175,-1.25031
OLFML1,2.53549,0.130369,-0.940516
OLFML2A,1.39396,0.298305,-0.526156
OLFML3,0.107857,0.77499,-0.175164
OMD,4.05648,0.00439752,-2.88149
OPA1,1.15237,0.483702,0.296296
OPA3,1.50663,0.194152,-0.797028
OPHN1,1.80091,0.174486,-0.829357
OPLAH,0.566645,0.660204,0.185595
OPTN,5.06519,0.00755172,2.06198
OR11A1,1.73742,0.00651381,-4.25628
OR51S1,0.651617,0.264405,0.755324
ORAI1,0.498465,0.567931,-0.258802
ORC2,0.14645,0.894317,0.0576125
ORC4,1.69638,0.0494816,-1.78358
ORC5,2.05868,0.0970816,-1.1943
ORMDL1,0.0803529,0.901242,0.0620156
ORMDL2,0.93592,0.418871,0.371779
ORMDL3,1.11316,0.391991,-0.396442
OS9,0.807575,0.471848,0.329149
OSBP,0.296427,0.797434,-0.114806
OSBPL10,4.32844,0.0166245,1.77792
OSBPL11,0.739882,0.380076,0.452104
OSBPL1A,4.74028,0.06241,-1.17518
OSBPL2,0.190953,0.793477,0.118945
OSBPL3,2.10404,0.120527,1.04424
OSBPL5,0.898129,0.492901,-0.298056
OSBPL6,0.230649,0.630664,0.263427
OSBPL8,1.77527,0.167262,-0.863232
OSBPL9,2.95799,0.185447,0.717445
OSCP1,1.26846,0.4059,0.370628
OSGEP,1.19223,0.523154,-0.265995
OSTF1,2.72898,0.166277,-0.789679
OSTM1,1.919,0.14796,0.929487
OTUB1,0.276848,0.740771,-0.149245
OTUD4,2.70196,0.0216019,1.93761
OTUD6B,1.54226,0.137065,-1.05245
OTUD7B,1.89407,0.227829,0.64918
OTULIN,1.75114,0.416033,-0.346009
OVCA2,1.88223,0.21098,0.698663
OXA1L,1.32131,0.198966,-0.805624
OXCT1,0.810864,0.773749,0.113051
OXNAD1,1.45638,0.227041,-0.68959
OXR1,2.79065,0.0159252,-2.13828
OXSM,0.679824,0.372153,0.468284
OXSR1,2.06524,0.063472,-1.47452
OXTR,2.32211,0.0326685,1.82583
P2RX4,1.3214,0.315021,0.501625
P3H1,2.36738,0.091354,-1.17185
P3H2,4.22652,0.0103371,2.00471
P3H3,4.24458,0.0696683,-1.156
P3H4,0.709541,0.562123,-0.248831
P4HA1,2.70822,0.00426506,-3.75965
P4HA2,1.01902,0.423444,-0.362182
P4HA3,5.86319,0.0203251,1.57948
P4HB,4.52448,0.269825,0.49846
P4HTM,2.68759,0.0312878,1.72979
PA2G4,1.2211,0.575006,-0.224955
PAAF1,0.127641,0.917391,0.0451697
PAAT,0.129436,0.91788,-0.0444455
PABPC1,0.150943,0.83291,-0.100189
PABPC4,0.787606,0.482071,-0.319378
PABPC4L,1.44476,0.169749,-0.909425
PACC1,0.763175,0.238093,-0.807025
PACS1,1.98401,0.241261,0.611342
PACS2,2.68812,0.0221764,1.96326
PACSIN2,0.845791,0.475797,-0.317319
PACSIN3,1.42281,0.347496,0.44015
PADI2,2.67496,0.0160634,2.19439
PAF1,0.0886047,0.904892,0.0559713
PAFAH1B1,0.0498431,0.969791,0.0161322
PAFAH1B2,0.322499,0.434274,0.504132
PAFAH1B3,0.255506,0.786892,0.1179
PAFAH2,3.96354,0.174462,0.722497
PAG1,3.06942,0.00472637,-3.24113
PAGR1,0.106113,0.792581,0.144299
PAICS,1.84815,0.279639,-0.535076
PAIP1,1.46504,0.0693014,-1.62708
PAIP2,2.46048,0.0698482,1.31991
PAK1,0.750888,0.71598,0.14498
PAK1IP1,1.86203,0.0498609,-1.6824
PAK2,2.85432,0.12278,0.962143
PAK4,0.898577,0.249078,0.715559
PALD1,1.75848,0.206697,0.721451
PALLD,3.8442,0.0167573,1.84307
PALM,2.50463,0.249612,0.570029
PALMD,5.32793,0.00243478,3.80265
PAMR1,0.0140142,0.974317,0.0179659
PAN2,1.13703,0.198483,-0.849672
PAN3,0.285747,0.653288,-0.220123
PANK2,1.22317,0.313795,0.507697
PANK3,1.69766,0.0262708,-2.38412
PANK4,1.87916,0.2446,-0.608786
PANX1,1.33236,0.159378,-0.984064
PAOX,2.89471,0.0402062,1.54462
PAPOLA,0.826722,0.249012,-0.750904
PAPOLG,2.25442,0.00469543,4.27885
PAPPA,1.54651,0.054128,1.81399
PAPSS1,0.475221,0.651794,-0.198783
PAPSS2,1.57205,0.299692,0.512486
PAQR7,0.333316,0.658911,-0.199868
PARD3,0.297654,0.793877,0.110589
PARD3B,0.0052574,0.993943,-0.00314937
PARD6B,4.41007,0.0442314,1.33376
PARD6G,0.88674,0.331159,0.509876
PARG,2.34018,0.0707621,1.34652
PARK7,4.00244,0.00294444,-4.17536
PARL,0.445518,0.335964,-0.661993
PARN,0.861955,0.762925,-0.118625
PARP1,5.44266,0.00375385,-2.72253
PARP10,2.76298,0.107569,1.04244
PARP14,2.39605,0.360473,0.39591
PARP16,2.09482,0.249029,-0.586463
PARP4,1.41965,0.400461,-0.372747
PARP9,1.71967,0.255096,0.592608
PARS2,0.741953,0.107934,2.02316
PARVA,1.62467,0.308666,-0.492193
PATJ,2.66492,0.0112478,2.44474
PATL1,0.396912,0.781428,-0.114483
PATZ1,0.399653,0.486162,-0.376316
PAWR,2.38309,0.0368694,1.69098
PAX9,2.45358,0.00652381,3.05372
PAXBP1,2.34566,0.0401053,-1.67958
PAXX,1.53736,0.208994,0.736538
PBDC1,1.14172,0.298846,-0.551826
PBK,1.19129,0.220681,-0.749542
PBLD,2.15982,0.240183,-0.605238
PBRM1,4.48827,0.0211295,-1.64413
PBX1,2.2508,0.0756033,-1.3081
PBX2,4.19165,0.10322,-0.969176
PBXIP1,2.64041,0.329619,0.430896
PC,1.09605,0.482696,-0.299233
PCBD1,4.887,0.013954,1.82092
PCBD2,0.107375,0.900266,-0.0568042
PCBP1,0.381114,0.718263,0.155235
PCBP2,1.40176,0.0757186,1.61993
PCBP3,0.283355,0.711956,0.169109
PCBP4,2.16392,0.108743,-1.10371
PCCA,0.0542628,0.968107,-0.0171639
PCCB,3.04189,0.175619,-0.745092
PCDH10,4.24287,0.00363478,3.11211
PCDH18,1.99083,0.254436,-0.578858
PCDHA4,0.669584,0.39999,0.426678
PCDHB10,2.84806,0.223105,0.620097
PCDHB14,2.64899,0.0166464,2.15214
PCDHB2,3.11047,0.0648119,1.27029
PCDHB5,2.91691,0.0857967,1.15321
PCDHGB6,0.88886,0.526453,0.270278
PCDHGB7,4.39798,0.0201345,1.69745
PCF11,0.161996,0.777259,0.137993
PCGF6,0.676039,0.517591,-0.289101
PCID2,1.80799,0.0359737,-1.97879
PCIF1,4.95162,0.0158045,-1.74461
PCK2,5.53228,0.130193,-0.83137
PCM1,1.19863,0.33591,0.470734
PCMT1,0.456838,0.435218,0.440311
PCMTD1,0.809667,0.355448,-0.478635
PCMTD2,2.20953,0.221981,-0.644857
PCNA,2.88411,0.0968015,-1.07415
PCNP,0.310404,0.588083,0.271549
PCNT,0.82328,0.585851,-0.225801
PCNX1,2.87477,0.00738278,2.60689
PCOLCE,3.192,0.00909554,-2.33114
PCSK1N,4.23885,0.00241818,3.68807
PCSK7,1.82829,0.233502,-0.639324
PCSK9,3.57827,0.00503679,2.65222
PCYOX1,2.0863,0.0855582,-1.27733
PCYOX1L,0.1843,0.819644,-0.102072
PCYT1A,2.17679,0.240176,-0.605588
PCYT2,0.946836,0.371087,0.440312
PDAP1,2.34069,0.0356808,1.77792
PDCD10,2.82846,0.552896,0.225542
PDCD11,0.980562,0.794865,-0.0997714
PDCD2,2.72164,0.0048403,3.20318
PDCD4,5.83632,0.00542271,-2.14366
PDCD5,2.58324,0.0565462,1.42
PDCD6,2.20124,0.0279394,-2.00131
PDCD6IP,1.14745,0.476634,0.306297
PDCL,1.01977,0.297753,0.564265
PDCL3,0.782275,0.49055,0.3075
PDE10A,0.846542,0.279231,0.637386
PDE11A,2.89207,0.0157888,2.10875
PDE12,2.00713,0.210729,0.688974
PDE1C,2.29012,0.0626017,1.41516
PDE3A,3.92698,0.0588853,-1.25076
PDE3B,1.61721,0.0785701,-1.48113
PDE4D,0.581997,0.235935,-0.93596
PDE4DIP,2.68183,0.490944,0.27012
PDE5A,2.57043,0.321122,-0.44399
PDE6D,0.178173,0.843499,0.0878851
PDE8A,2.79869,0.101709,-1.06446
PDF,1.47212,0.232285,0.672214
PDGFRA,4.30364,0.00384252,-3.00495
PDGFRB,3.81149,0.00828378,-2.2067
PDHA1,1.52524,0.382207,0.38946
PDHB,0.68222,0.377492,-0.461675
PDHX,2.49266,0.157495,0.83746
PDIA3,2.46601,0.174608,0.778678
PDIA4,0.1756,0.887512,-0.0615605
PDIA5,1.09561,0.372137,-0.422939
PDIA6,1.36963,0.275576,0.572746
PDK1,0.839913,0.407741,-0.392815
PDK2,1.88905,0.0205813,-2.48668
PDK3,1.16392,0.24755,0.666913
PDLIM1,0.349209,0.507923,0.36165
PDLIM2,2.7972,0.0266713,1.79783
PDLIM3,3.96743,0.0039562,3.06164
PDLIM4,3.47778,0.0327782,1.56673
PDLIM5,2.11892,0.0926641,1.18588
PDLIM7,2.52823,0.0361464,1.71256
PDP1,1.54246,0.278593,-0.554238
PDPK1,1.12457,0.284429,-0.579364
PDPR,3.01767,0.115547,-0.980076
PDRG1,0.532173,0.46307,-0.364584
PDS5A,5.3141,0.0250337,-1.50997
PDS5B,2.22974,3.28E-02,-1.80889
PDSS2,2.44187,0.169607,0.79582
PDXDC1,2.07399,0.257859,-0.568931
PDXK,3.27803,0.169044,0.759331
PDXP,1.6716,0.528183,-0.250809
PDZD11,0.978784,0.51025,0.279189
PDZD2,2.73539,0.0269015,1.79506
PDZD8,0.619254,0.774129,-0.114952
PEA15,4.50186,0.0243116,1.57681
PEAK1,0.736297,0.476786,0.325512
PEAR1,2.97046,0.0241551,-1.7905
PEBP1,1.41132,0.336802,-0.45601
PEF1,0.165736,0.890746,0.0588466
PEG10,1.56508,0.176859,0.855339
PELO,2.54986,0.171103,0.785156
PELP1,1.40194,0.33595,-0.459238
PEPD,0.144453,0.884032,0.0674897
PES1,0.739858,0.618466,0.203534
PET117,0.882078,0.144375,1.30073
PEX1,0.686851,0.485402,-0.32079
PEX11B,1.40189,0.068321,-1.6954
PEX13,1.50729,0.345165,0.439546
PEX14,0.147688,0.820944,0.106574
PEX16,1.77874,0.153244,-0.927499
PEX19,0.0936,0.868153,0.0868708
PEX26,0.0383123,0.933773,-0.0461574
PEX3,1.75371,0.106472,-1.19649
PEX5,2.40119,0.30098,0.480368
PEX6,3.3467,0.063519,1.26418
PFAS,1.63504,0.501477,-0.27129
PFDN1,2.70576,0.0139984,2.27828
PFDN2,1.95647,0.111284,1.10825
PFDN4,2.67586,0.0282372,1.80441
PFDN5,0.968843,0.342024,0.485559
PFDN6,2.43252,0.0685049,1.33107
PFKFB2,2.09496,0.185799,0.759897
PFKFB3,0.549269,0.622811,-0.208004
PFKFB4,0.0301414,0.976239,-0.0127182
PFKL,0.570788,0.757032,0.125194
PFKM,2.12324,0.0862899,-1.2503
PFKP,3.33594,0.214369,0.627522
PFN1,0.764401,0.442981,-0.35806
PFN2,1.83267,0.0958561,-1.24966
PGAM1,2.71892,0.086437,1.16821
PGAM5,0.604653,0.761309,0.12213
PGAP1,1.22602,0.0906701,-1.53318
PGAP4,1.97901,0.0430703,1.7555
PGD,0.848002,0.140678,-1.36956
PGGHG,1.71038,0.441632,0.321979
PGGT1B,1.78132,0.100337,-1.23765
PGK1,1.72998,0.00674317,4.31399
PGK2,1.45465,0.202801,-0.770985
PGLS,3.37748,0.161317,0.776547
PGM1,0.560199,0.442386,-0.388106
PGM2,1.85552,0.34891,-0.422349
PGM2L1,0.36619,0.576986,0.268589
PGM3,1.78996,0.255828,-0.586945
PGM5,5.67249,0,4.56301
PGP,2.23284,0.0246786,-2.05803
PGPEP1,0.100913,0.852939,-0.0922328
PGRMC1,0.889424,0.313035,0.546173
PGRMC2,2.0469,0.188753,0.758501
PHACTR2,0.124535,0.81919,-0.112357
PHACTR4,1.59677,0.142569,1.00597
PHAX,0.157756,0.831545,0.0966491
PHB,2.79619,0.187952,0.714823
PHB2,1.72794,0.371861,-0.396151
PHC1,0.0440976,0.930609,0.0459634
PHC2,3.22689,0.233554,0.585759
PHC3,1.39953,0.117749,-1.2027
PHETA1,1.13865,0.204994,0.81797
PHF1,1.5348,0.0326804,-2.3158
PHF10,2.51231,0.127779,-0.958094
PHF12,3.05121,0.0696686,-1.24201
PHF14,0.578719,0.508269,-0.304364
PHF2,3.21448,0.0413674,-1.4683
PHF20L1,0.260359,0.856759,0.0750472
PHF21A,1.11397,0.336324,0.476091
PHF23,7.0598,0.00911489,-1.82854
PHF3,0.180757,0.775259,0.136283
PHF6,1.36567,0.131165,-1.12176
PHF8,3.05562,0.065711,-1.27237
PHGDH,3.0403,0.0283662,-1.67986
PHIP,0.798583,0.31304,0.568018
PHKA1,1.26567,0.0921262,-1.51412
PHKA2,2.83374,0.104704,1.04066
PHKB,1.51009,0.152262,-0.978606
PHKG2,1.29157,0.399994,-0.376768
PHLDA1,1.35077,0.189577,-0.834433
PHLDA2,2.58969,0.0326049,1.74883
PHLDA3,2.63727,0.0365219,1.67506
PHLDB1,1.93392,0.0761815,1.38105
PHLDB2,4.04591,0.165342,0.747901
PHLDB3,4.35014,0.0168024,1.76462
PHLPP1,1.41029,0.146813,1.02831
PHOSPHO1,3.37012,0.0138758,2.08238
PHOX2B,0.434631,0.459177,0.389731
PHPT1,0.0824052,0.946326,0.0291289
PHRF1,0.666803,0.403911,0.420221
PHYHD1,0.858546,0.383919,-0.426464
PHYKPL,3.32152,0.149603,-0.818785
PI4K2A,0.489943,0.596732,0.240927
PI4K2B,2.69434,0.0245255,-1.8945
PI4KA,0.124268,0.849629,-0.0958266
PI4KB,2.02574,0.0367314,1.87089
PIANP,0.0940065,0.82786,0.117002
PIAS1,2.1552,0.216805,-0.664601
PIAS2,3.56069,0.140514,-0.843059
PIAS3,0.418917,0.443368,0.436318
PIBF1,1.47264,0.305645,-0.506282
PICALM,0.183476,0.770442,0.148738
PIEZO1,4.22643,0.0422999,1.36234
PIEZO2,0.0275079,0.932067,-0.059608
PIGB,1.74186,0.161872,-0.887467
PIGBOS1,1.90641,0.00938462,-3.30827
PIGG,1.03237,0.501171,-0.284526
PIGK,1.92322,0.052992,-1.63564
PIGN,0.487929,0.416756,-0.438008
PIGO,1.28976,0.183701,-0.874531
PIGP,2.68657,0.0997944,1.0913
PIGS,1.86013,0.133281,-1.00989
PIGT,1.52011,0.129319,-1.09713
PIGU,2.15792,0.00543987,-3.696
PIGX,0.656125,0.454073,-0.357911
PIH1D1,2.25297,0.210259,0.67573
PIK3C2A,1.57485,0.328849,0.463437
PIK3C2B,2.73023,0.0297628,-1.71758
PIK3C3,0.198938,0.822509,-0.0995955
PIK3CA,0.0465008,0.904269,-0.0734986
PIK3CB,1.52772,0.0846565,-1.46144
PIK3CD,1.47489,0.140722,-1.04784
PIK3R1,3.75742,0.115975,-0.938124
PIK3R2,3.28337,0.0771932,1.16629
PIK3R3,1.22439,0.179154,-0.908345
PIK3R4,1.11209,0.249057,-0.67073
PIKFYVE,2.36747,0.0512791,1.51493
PIN1,2.7504,0.0227329,1.90261
PIN4,0.0776573,0.935846,-0.0364552
PIP4K2A,1.53799,0.266461,-0.580059
PIP4K2B,3.17534,0.102963,-1.03041
PIP4K2C,0.117457,0.891835,-0.0619123
PIP4P1,1.8521,0.0358908,-1.97808
PIP4P2,0.986953,0.213593,-0.8244
PIP5K1A,0.78388,0.196248,-1.0075
PIP5K1C,2.80882,0.167288,-0.785444
PIR,1.95694,0.0830336,1.31495
PITHD1,2.1149,0.18023,0.781791
PITPNA,1.28847,0.208961,-0.772587
PITPNB,3.03705,0.24768,-0.560268
PITPNM1,0.586765,0.52036,0.29678
PITPNM2,1.11405,0.319405,0.506257
PITRM1,0.133686,0.865059,-0.076557
PJA2,1.88057,0.118139,1.09511
PKD1,3.19547,0.0158821,2.00236
PKD2,1.09454,0.308475,0.531114
PKIA,3.08383,0.00650559,2.65961
PKIG,3.8944,0.00481604,2.75508
PKM,3.76129,0.143053,0.824537
PKN1,2.1603,0.499018,0.267437
PKN2,1.05681,0.388306,0.411985
PKP2,6.03166,0.00345833,3.55471
PKP4,3.0098,0.011191,2.25921
PLA2G15,0.12416,0.862654,-0.0796673
PLA2G4A,0.0753775,0.894049,0.0665425
PLA2R1,2.00086,0.250629,-0.587289
PLAA,0.806494,0.462051,-0.33381
PLAAT3,1.0793,0.130953,1.26814
PLAT,4.56207,0.00481281,2.60903
PLAU,4.54996,0.00425146,2.73209
PLAUR,0.588413,0.732834,0.13794
PLBD2,1.71964,0.269395,0.562379
PLCB1,0.606617,0.201083,1.16141
PLCB3,3.97497,0.221392,0.597668
PLCD1,2.32888,0.134448,0.940803
PLCD3,0.978314,0.663667,-0.171823
PLCD4,2.05031,0.0295469,-2.00312
PLCE1,0.595675,0.44568,0.373818
PLCG1,2.45433,0.181229,-0.753639
PLCH1,0.410366,0.205696,-1.63791
PLCH2,0.0310552,0.962521,0.0228657
PLCL2,1.23219,0.133991,1.17091
PLD1,2.38827,0.032875,-1.78259
PLD2,4.07592,0.0352152,-1.46214
PLD3,1.49942,0.275295,0.56373
PLEC,2.93527,0.0719185,-1.24056
PLEKHA1,1.85033,0.0416978,-1.84305
PLEKHA2,2.83152,0.0325195,1.66927
PLEKHA3,0.202351,0.798427,0.114854
PLEKHA4,1.54243,0.320398,-0.475444
PLEKHA5,0.702415,0.553248,-0.254362
PLEKHA6,1.50056,0.244805,-0.634851
PLEKHA7,2.44739,0.221627,0.63658
PLEKHA8,1.388,0.258658,0.609699
PLEKHB2,2.95814,0.0889437,1.12767
PLEKHF1,2.23374,0.199672,-0.711166
PLEKHF2,1.82115,0.107231,-1.16868
PLEKHG2,0.376738,0.61887,0.226815
PLEKHG3,0.493058,0.494165,0.333553
PLEKHG5,3.33816,0.111351,0.976272
PLEKHH3,3.59021,0.0881894,-1.07506
PLEKHJ1,0.565899,0.429829,-0.405182
PLEKHM1,0.526523,0.593925,0.234785
PLEKHM2,0.0361314,0.962592,0.0223598
PLEKHO1,1.49887,0.0956596,1.35162
PLEKHO2,2.09542,0.312567,-0.468072
PLGRKT,1.72528,0.108105,1.1902
PLIN2,0.917768,0.289069,0.599649
PLIN3,2.62905,0.1174,1.0017
PLOD1,0.345069,0.803073,-0.103046
PLOD2,2.54251,0.0740386,1.26965
PLOD3,2.92597,0.380531,0.365622
PLP2,0.374211,0.315361,0.799031
PLPBP,2.14223,0.429063,0.327511
PLPP3,4.72887,0.00623837,-2.22185
PLRG1,2.42886,0.305815,-0.473105
PLS1,1.63484,0.142493,0.994986
PLS3,0.757599,0.450686,-0.349532
PLSCR3,1.54643,0.152142,0.967028
PLTP,1.76665,0.119371,-1.09073
PLXNA1,1.98457,0.231919,-0.633065
PLXNA2,0.458557,0.460772,-0.387888
PLXNA3,0.982184,0.403439,0.394508
PLXNB1,4.7197,0.0103314,1.96408
PLXNB2,0.591537,0.77436,-0.114416
PLXNB3,4.39749,0.00745411,2.13802
PLXND1,3.09299,0.0796723,-1.15444
PM20D2,1.40659,0.449798,-0.322339
PMF1,1.61236,0.244655,-0.626206
PML,3.15514,0.0211312,1.86358
PMM1,3.60935,0.0206991,1.79384
PMM2,0.415031,0.789885,-0.109121
PMP2,3.87215,0.00433514,-2.86614
PMPCA,1.18328,0.336828,0.473302
PMPCB,1.78671,0.348956,0.426545
PMS1,1.83663,0.12931,-1.03419
PMVK,0.0534833,0.90362,-0.0681592
PNISR,0.575259,0.383472,-0.473452
PNKD,1.86964,0.070146,1.47005
PNKP,0.443243,0.621966,0.218292
PNMA1,0.32861,0.822739,0.0919342
PNMA2,1.65413,0.179716,-0.830619
PNN,0.413673,0.527068,-0.313394
PNO1,2.29395,0.0295525,-1.91744
PNP,1.78734,0.128577,-1.05062
PNPLA4,0.360837,0.584622,-0.264235
PNPLA6,0.895921,0.622739,0.197986
PNPLA8,1.2277,0.309608,-0.516819
PNPO,4.3203,0.0354795,1.43149
PNPT1,3.53662,0.147699,0.820508
POF1B,2.43502,0.0266046,1.93304
POFUT1,1.2244,0.342794,-0.458829
POFUT2,0.594226,0.228494,-0.980916
POGK,2.21904,0.0174015,-2.32651
POGLUT1,0.187417,0.806432,0.110727
POGLUT2,0.786005,0.383092,-0.452072
POGLUT3,4.74842,0.0146287,-1.80564
POGZ,0.149923,0.829438,-0.099008
POLB,0.965685,0.517021,0.273702
POLD1,4.49796,0.0899909,-1.02258
POLD2,0.022735,0.982811,0.00940754
POLD3,0.258152,0.722777,0.162423
POLDIP2,1.95925,0.218985,-0.670572
POLDIP3,0.912407,0.402973,-0.394109
POLE,2.36159,0.0652165,1.37218
POLE3,1.91872,0.0961252,1.23107
POLE4,0.423499,0.778002,0.115865
POLG,0.173785,0.917812,-0.0427215
POLG2,1.18121,0.389988,-0.393822
POLI,3.92383,0.162538,-0.759143
POLL,2.19721,0.422445,0.331377
POLM,1.45489,0.397642,0.373092
POLR1A,0.846697,0.618433,0.208068
POLR1B,1.53622,0.0430648,-2.03062
POLR1C,2.9985,0.228241,0.602077
POLR1D,0.206601,0.717958,-0.177226
POLR1E,1.57231,0.274572,-0.560499
POLR1F,3.08114,0.0819243,-1.1596
POLR1G,0.202978,0.762417,-0.141031
POLR2A,0.568522,0.748389,-0.130474
POLR2B,3.92815,0.198013,-0.658317
POLR2C,1.64478,0.167877,0.880369
POLR2D,0.459825,0.792525,-0.106301
